index,volume,open,close,high,low,8,datetime,year,month,day,hour,minute
0,0,15.55,15.55,15.55,15.55,1,2023-04-12 12:00:00,2023,4,12,12,0
1,1,15.55,15.55,15.55,15.55,1,2023-04-12 12:04:00,2023,4,12,12,4
2,2,15.75,15.75,15.75,15.75,3,2023-04-12 12:18:00,2023,4,12,12,18
3,3,16.0,16.0,16.0,16.0,1,2023-04-12 12:34:00,2023,4,12,12,34
4,4,16.0,16.0,16.0,16.0,2,2023-04-12 12:36:00,2023,4,12,12,36
5,5,15.7195,15.77,15.7,15.77,7,2023-04-12 12:48:00,2023,4,12,12,48
6,6,15.8878,15.89,15.87,15.92,63,2023-04-12 13:30:00,2023,4,12,13,30
7,7,15.8573,15.84,15.77,15.91,100,2023-04-12 13:31:00,2023,4,12,13,31
8,8,15.7344,15.73,15.73,15.75,40,2023-04-12 13:32:00,2023,4,12,13,32
9,9,15.7033,15.72,15.71,15.72,33,2023-04-12 13:33:00,2023,4,12,13,33
10,10,15.6572,15.68,15.7,15.7,110,2023-04-12 13:34:00,2023,4,12,13,34
11,11,15.704,15.7,15.7,15.72,51,2023-04-12 13:35:00,2023,4,12,13,35
12,12,15.6977,15.67,15.74,15.74,85,2023-04-12 13:36:00,2023,4,12,13,36
13,13,15.7763,15.74,15.8,15.8,105,2023-04-12 13:37:00,2023,4,12,13,37
14,14,15.8137,15.81,15.8,15.84,75,2023-04-12 13:38:00,2023,4,12,13,38
15,15,15.7657,15.8,15.76,15.8,75,2023-04-12 13:39:00,2023,4,12,13,39
16,16,15.7678,15.77,15.74,15.79,93,2023-04-12 13:40:00,2023,4,12,13,40
17,17,15.748,15.75,15.74,15.765,101,2023-04-12 13:41:00,2023,4,12,13,41
18,18,15.7424,15.7527,15.73,15.76,73,2023-04-12 13:42:00,2023,4,12,13,42
19,19,15.7545,15.73,15.745,15.77,93,2023-04-12 13:43:00,2023,4,12,13,43
20,20,15.7277,15.74,15.735,15.74,59,2023-04-12 13:44:00,2023,4,12,13,44
21,21,15.7611,15.74,15.77,15.79,216,2023-04-12 13:45:00,2023,4,12,13,45
22,22,15.7727,15.78,15.705,15.78,72,2023-04-12 13:46:00,2023,4,12,13,46
23,23,15.7069,15.7,15.68,15.735,76,2023-04-12 13:47:00,2023,4,12,13,47
24,24,15.6873,15.695,15.68,15.72,108,2023-04-12 13:48:00,2023,4,12,13,48
25,25,15.6985,15.69,15.679,15.72,113,2023-04-12 13:49:00,2023,4,12,13,49
26,26,15.6636,15.67,15.645,15.685,118,2023-04-12 13:50:00,2023,4,12,13,50
27,27,15.6322,15.64,15.655,15.655,125,2023-04-12 13:51:00,2023,4,12,13,51
28,28,15.6495,15.65,15.68,15.68,89,2023-04-12 13:52:00,2023,4,12,13,52
29,29,15.6964,15.685,15.69,15.72,129,2023-04-12 13:53:00,2023,4,12,13,53
30,30,15.6993,15.695,15.69,15.72,106,2023-04-12 13:54:00,2023,4,12,13,54
31,31,15.685,15.685,15.685,15.695,68,2023-04-12 13:55:00,2023,4,12,13,55
32,32,15.6763,15.69,15.68,15.69,97,2023-04-12 13:56:00,2023,4,12,13,56
33,33,15.6477,15.675,15.655,15.675,120,2023-04-12 13:57:00,2023,4,12,13,57
34,34,15.6511,15.65,15.665,15.665,102,2023-04-12 13:58:00,2023,4,12,13,58
35,35,15.6566,15.67,15.67,15.67,153,2023-04-12 13:59:00,2023,4,12,13,59
36,36,15.6646,15.67,15.67,15.68,153,2023-04-12 14:00:00,2023,4,12,14,0
37,37,15.6481,15.66,15.66,15.66,113,2023-04-12 14:01:00,2023,4,12,14,1
38,38,15.6378,15.67,15.615,15.67,85,2023-04-12 14:02:00,2023,4,12,14,2
39,39,15.608,15.62,15.62,15.63,93,2023-04-12 14:03:00,2023,4,12,14,3
